region,window,A,B,q,diff,lo,hi,significant,n_a,n_b
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.2898312509059906,0.25508997291326524,0.3178136348724365,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.21397414654493352,0.19094483584165592,0.27085655629634875,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.20376559525728222,0.18155891781300304,0.2365296767577529,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.08219837307929989,0.0648345673084259,0.12969401478767395,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.10641787648200995,0.0514928933978081,0.15307865262031553,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.36901628598570824,0.2921190904453397,0.4186650356277823,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.3348657071590424,0.30180180579423904,0.3523542005568742,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.32739373087882984,0.29970046639442405,0.36869215816259404,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.500689920783043,0.38434557139873504,0.5835566952824592,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.5104490950703622,0.44127432879060513,0.5773606598377228,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.544565349817276,0.516250882204622,0.5871087908744812,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.6020707160234452,0.5657325258851049,0.6150238157063722,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.5708750855922701,0.552018984556198,0.609920266866684,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.221961452960968,0.201186318397522,0.38755888152122414,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.3784336984157562,0.2808890730142594,0.5399489638209343,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.6053886008448899,0.5421041045337915,0.6633559055626392,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.5858019769191741,0.5416477527469395,0.6069464732706547,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.5951159727573395,0.5689411454200745,0.617578352689743,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.06527843356132501,0.018956955671310394,0.08289584517478943,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.04956125617027285,0.016703315973281882,0.07446720391511916,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,-0.039034292101860046,-0.07328633964061737,-0.0013778507709503174,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,-0.057831881940364704,-0.11151432801037975,0.015622545555233878,False,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,-0.08083599656820262,-0.13097476214170456,-0.04080343037843703,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.12734409630298615,0.11217288553714755,0.1759178805351257,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.16022636294364934,0.1156367182731628,0.18871171146631235,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.15891166403889656,0.10954788562521571,0.23295854628086082,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.099849845468998,0.08228290673345327,0.14021236896514888,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.13505541026592227,0.08996678471565245,0.15704382777214043,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.41106086015701293,0.3879698300361633,0.4292273992300034,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.41332852244377133,0.38075769908726215,0.4497433675825595,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",50.0,0.415830347687006,0.34218976050615313,0.4366574471991044,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",95.0,0.3698832988739015,0.32549825713038444,0.39968288172036415,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",99.0,0.3566428512334824,0.34452659994363777,0.3825606877207758,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",1.0,0.13476582050323488,0.12045636880397798,0.15436903476715086,True,97,97
regions400,100,"('Dp1Yey', 'VEH')","('Dp1Yey', 'LCTB92')",5.0,0.12728875875473022,0.09232760667800904,0.14466003179550171,True,97,97
